iter	Passed	Remaining
437	1396	1791
438	1399	1788
439	1402	1784
440	1405	1781
441	1408	1778
442	1411	1774
443	1414	1770
444	1417	1767
445	1420	1764
446	1423	1760
447	1426	1757
448	1429	1754
449	1432	1750
450	1435	1747
451	1438	1743
452	1441	1740
453	1444	1736
454	1447	1733
455	1449	1729
456	1452	1726
457	1455	1722
458	1458	1719
459	1461	1716
460	1465	1713
461	1468	1709
462	1471	1706
463	1474	1702
464	1476	1699
465	1480	1696
466	1483	1692
467	1486	1689
468	1490	1687
469	1493	1684
470	1496	1680
471	1499	1677
472	1502	1674
473	1505	1670
474	1508	1667
475	1511	1664
476	1514	1660
477	1517	1657
478	1520	1653
479	1523	1650
480	1526	1647
481	1529	1644
482	1538	1646
483	1541	1643
484	1544	1639
485	1546	1636
486	1550	1632
487	1553	1629
488	1556	1626
489	1558	1622
490	1561	1619
491	1565	1615
492	1567	1612
493	1570	1609
494	1573	1605
495	1576	1602
496	1579	1598
497	1582	1595
498	1585	1592
499	1588	1588
500	1592	1585
501	1594	1582
502	1597	1578
503	1600	1575
504	1603	1571
505	1606	1568
506	1609	1564
507	1612	1561
508	1615	1558
509	1618	1554
510	1621	1551
511	1624	1547
512	1627	1544
513	1630	1541
514	1633	1538
515	1636	1534
516	1639	1531
517	1642	1528
518	1645	1524
519	1647	1521
520	1651	1518
521	1654	1514
522	1657	1511
523	1660	1508
524	1663	1504
525	1666	1501
526	1669	1498
527	1672	1494
528	1675	1491
529	1678	1488
530	1681	1484
531	1687	1484
532	1690	1481
533	1693	1477
534	1696	1474
535	1699	1471
536	1702	1468
537	1705	1464
538	1708	1461
539	1711	1457
540	1714	1454
541	1717	1451
542	1721	1448
543	1724	1445
544	1727	1442
545	1730	1438
546	1733	1435
547	1736	1432
548	1739	1428
549	1742	1425
550	1744	1421
551	1748	1418
552	1751	1415
553	1754	1412
554	1757	1409
555	1760	1405
556	1763	1402
557	1766	1399
558	1769	1395
559	1772	1392
560	1775	1389
561	1778	1386
562	1781	1382
563	1784	1379
564	1787	1375
565	1790	1372
566	1792	1369
567	1795	1365
568	1798	1362
569	1801	1359
570	1804	1355
571	1807	1352
572	1810	1349
573	1813	1346
574	1816	1342
575	1819	1339
576	1822	1336
577	1825	1333
578	1829	1330
579	1832	1327
580	1835	1323
581	1838	1320
582	1841	1316
583	1843	1313
584	1846	1310
585	1849	1306
586	1852	1303
587	1855	1300
588	1858	1296
589	1861	1293
590	1864	1290
591	1867	1286
592	1870	1283
593	1873	1280
594	1875	1276
595	1878	1273
596	1881	1270
597	1884	1266
598	1887	1263
599	1890	1260
600	1893	1256
601	1894	1252
602	1897	1249
603	1900	1246
604	1903	1242
605	1906	1239
606	1909	1236
607	1911	1232
608	1914	1229
609	1917	1226
610	1920	1222
611	1923	1219
612	1926	1216
613	1929	1212
614	1932	1209
615	1935	1206
616	1938	1203
617	1941	1199
618	1944	1196
619	1946	1193
620	1949	1189
