Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.023768064190320192,0.0166498223491137,-6.1713007797895365,0.0001866019779809666,0.0,0.006903820542535349,0.0004719884334510657,49.67301587301592,0.0002304072150645094,0.14978775015160703,0.14978775015160703,0.14978775015160703,38.0,0,1,0.11434378325906004
O14578,2.7773358100922996e-05,1.945558017329594e-05,-5.962112534374739,0.0001866019779809666,0.0,0.006780464606694932,0.00045766964343432395,46.96114718614725,0.00022885351701588567,0.14711137581893985,0.14711137581893985,0.14711137581893985,28.0,0,1,0.00013361251524879298
O60573,0.00010697509266697584,7.493737287239949e-05,-5.665563371347631,0.0001866019779809666,0.0,0.006457402197754277,0.0004705267329446361,40.81587301587307,0.0002332273585924431,0.14010209869540555,0.14010209869540555,0.14010209869540555,13.0,0,1,0.0005146374863381097
Q99623,0.0013417326026897258,0.0009399002500126135,6.171300779789484,0.0001866019779809666,0.0,0.008631084211251548,0.0004528518673235518,54.12142857142856,0.00022775319375515068,0.18726307808946172,0.18726307808946172,0.18726307808946172,20.0,0,1,0.006454828659375999
Q9UDY4,0.023768064190320192,0.016649822349113712,-6.121823603449193,0.0001866019779809666,0.0,0.006903820542535349,0.0004719884334510657,49.67301587301592,0.0002304072150645094,0.14978775015160703,0.14978775015160703,0.14978775015160703,38.0,0,1,0.11434378325906004
P06280,-4.909524178165791e-19,3.503292076928873e-18,-4.98614064514065,0.0001866019779809666,0.0,0.0008891035421446056,0.0005132513555727779,5.0,0.00024149104049444627,0.5294117647058824,0.5294117647058824,0.5294117647058824,9.0,0,1,-2.6479263549381363e-18
Q14203,7.002325495957224e-05,4.905215443918058e-05,-4.525565941934459,0.0001866019779809666,0.0,0.008818280460604795,0.0004479378929915819,57.923015873015856,0.0002258736346464828,0.19132455460883036,0.19132455460883036,0.19132455460883036,33.0,0,1,0.00033686899463331114
Q9NVI1,0.0015787582046861072,0.0011059396099634504,-5.079973276407753,0.0003732039559619332,0.0009424131250774461,0.011511021309040234,0.000782428032995944,71.49999999999994,0.0002828550425352805,0.24974721941354905,0.24974721941354905,0.24974721941354905,26.0,0,2,0.007595115215509564
Q8IUD2,2.7773358100922996e-05,1.945558017329485e-05,-4.349552852697781,0.0001866019779809666,0.0,0.006780464606694932,0.00045766964343432395,46.96114718614725,0.00022885351701588567,0.14711137581893985,0.14711137581893985,0.14711137581893985,28.0,0,1,0.00013361251524881775
Q8N3C7,-0.0,5.298146608582178e-20,-4.114915424378256,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,5.609371494747223e-19
O43169,-2.975536567951507e-19,-1.9170800953191355e-17,-5.444526564095156,0.0001866019779809666,0.0,0.004210493132589603,0.00047749765999858103,27.45000000000001,0.0002320706505287225,0.24795640326975477,0.24795640326975477,0.24795640326975477,26.0,0,1,-1.9193069922058666e-16
Q9Y312,-0.0,2.283921128790218e-19,-5.087278866065289,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-4.158977339805901e-19
Q15154,7.002325495957224e-05,4.9052154439177285e-05,-3.53291811700175,0.0001866019779809666,0.0,0.008818280460604795,0.0004479378929915819,57.923015873015856,0.0002258736346464828,0.19132455460883036,0.19132455460883036,0.19132455460883036,33.0,0,1,0.00033686899463331114
Q92616,0.00023702560199638167,0.00016603935995083638,-3.4568426413302076,0.0001866019779809666,0.0,0.009873720793270417,0.0004611357168177109,60.87619047619043,0.00022889839596640187,0.2142237640936687,0.2142237640936687,0.2142237640936687,32.0,0,1,0.0011402865561335725
Q9H7F0,-0.0,7.932763269522603e-19,5.962112534374725,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-1.6157818711003423e-18
P78406,7.002325495957224e-05,4.9052154439177285e-05,5.665563371347612,0.0001866019779809666,0.0,0.008818280460604795,0.0004479378929915819,57.923015873015856,0.0002258736346464828,0.19132455460883036,0.19132455460883036,0.19132455460883036,33.0,0,1,0.0003368689946333235
Q14146,1.2419501273533715e-05,8.70001394363039e-06,6.12182360344921,0.0001866019779809666,0.0,0.007246594573291402,0.0004802020021748379,45.99444444444447,0.00023329529259041116,0.15722469764481223,0.15722469764481223,0.15722469764481223,19.0,0,1,5.974793531514509e-05
P13861,2.7773358100922996e-05,1.9455580173294843e-05,4.525565941934465,0.0001866019779809666,0.0,0.006780464606694932,0.00045766964343432395,46.96114718614725,0.00022885351701588567,0.14711137581893985,0.14711137581893985,0.14711137581893985,28.0,0,1,0.00013361251524879572
Q99996,2.7773358100922996e-05,1.9455580173295947e-05,4.986140645140631,0.0001866019779809666,0.0,0.006780464606694932,0.00045766964343432395,46.96114718614725,0.00022885351701588567,0.14711137581893985,0.14711137581893985,0.14711137581893985,28.0,0,1,0.0001336125152487895
P07237,-0.0,-2.2812780259973985e-19,4.349552852697763,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,7.659479281733848e-19
Q06787,0.0013417326026897258,0.0009399002500126142,5.07997327640775,0.0001866019779809666,0.0,0.008631084211251548,0.0004528518673235518,54.12142857142856,0.00022775319375515068,0.18726307808946172,0.18726307808946172,0.18726307808946172,20.0,0,1,0.006454828659375984
Q7Z4H8,-0.0,-4.3124817963937277e-19,4.114915424378255,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-1.0664418629039853e-18
Q13535,1.3147983428501685e-20,4.254767568847058e-18,5.444526564095154,0.0001866019779809666,0.0,0.0006106973824831634,0.0005351215492261339,3.5,0.00024787590809345226,0.5454545454545454,0.5454545454545454,0.5454545454545454,6.0,0,1,1.2272114639951511e-18
Q15397,1.2419501273533715e-05,8.700013943630104e-06,3.532918117001754,0.0001866019779809666,0.0,0.007246594573291402,0.0004802020021748379,45.99444444444447,0.00023329529259041116,0.15722469764481223,0.15722469764481223,0.15722469764481223,19.0,0,1,5.974793531515146e-05
P29122,-0.0,7.704073350197702e-19,3.456842641330214,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-3.7838685655991225e-18
Q9Y2L1,1.8114363597412893e-05,1.268933529668119e-05,5.087278866065282,0.0001866019779809666,0.0,0.007359017501383834,0.0004777464680938803,47.994444444444454,0.00023220458639959627,0.15966386554621848,0.15966386554621848,0.15966386554621848,25.0,0,1,8.714487004431078e-05
P14314,1.3147983428501685e-20,4.2784856147742e-18,-2.9833634868050227,0.0001866019779809666,0.0,0.0006106973824831634,0.0005351215492261339,3.5,0.00024787590809345226,0.5454545454545454,0.5454545454545454,0.5454545454545454,6.0,0,1,-4.0528425915335897e-19
P30414,-0.0,2.6415246477184004e-19,-1.723775566846258,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,3.799735069178037e-18
Q8N4C6,9.779661306049524e-05,6.850773461247213e-05,2.983363486805022,0.0003732039559619332,9.533835661121614e-05,0.009173569761999026,0.0007740479852805872,64.5896825396825,0.00028093060447609644,0.1990330378726833,0.1990330378726833,0.1990330378726833,30.5,0,2,0.0004704815098821225
Q13724,-2.975536567951507e-19,-1.9170800953191355e-17,1.7237755668462582,0.0001866019779809666,0.0,0.004210493132589603,0.00047749765999858103,27.45000000000001,0.0002320706505287225,0.24795640326975477,0.24795640326975477,0.24795640326975477,26.0,0,1,-2.0217582000198266e-16
P24539,-0.0,5.600880442099178e-20,-1.4024649889801093,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-2.5053976436562133e-18
Q8NBS9,-2.6125871559635898e-17,-1.9443660020400907e-16,-3.0000000000000053,0.0001866019779809666,0.0,0.005346889202977109,0.00046244614440898963,32.416666666666664,0.00022888249077309162,0.314878892733564,0.314878892733564,0.314878892733564,36.0,0,1,-1.6909329262491805e-15
Q96JC1,-2.6125871559635898e-17,-1.9331729107551592e-16,1.4024649889801097,0.0001866019779809666,0.0,0.005346889202977109,0.00046244614440898963,32.416666666666664,0.00022888249077309162,0.314878892733564,0.314878892733564,0.314878892733564,36.0,0,1,-1.6924802712138021e-15
P31323,-0.0,-2.6651602146502645e-20,3.0000000000000004,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,-9.374865014230085e-19
Q13427,-0.0,5.840997904019287e-19,-2.449489742783179,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,2.3370138757241974e-18
P51114,-0.0,-4.636691891364278e-19,2.449489742783179,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,1.420394052938325e-18
O75150,7.002325495957224e-05,4.9052154439179494e-05,-3.872983346207415,0.0001866019779809666,0.0,0.008818280460604795,0.0004479378929915819,57.92301587301586,0.0002258736346464828,0.19132455460883036,0.19132455460883036,0.19132455460883036,33.0,0,1,0.00033686899463331114
P10721,-0.0,2.776535640010557e-19,3.8729833462074157,0.0,0.0,0.0,0.00013155955114531873,0.0,0.000173796547186272,0.0,0.0,0.0,0.0,0,0,6.189067651491411e-18
P20674,0.00010697509266697584,7.493737287239909e-05,-3.7455195606004415e-16,0.0001866019779809666,0.0,0.006457402197754277,0.0004705267329446361,40.81587301587307,0.0002332273585924431,0.14010209869540555,0.14010209869540555,0.14010209869540555,13.0,0,1,0.0005146374863380952
Q9NY61,0.00023702560199638167,0.00016603935995083654,-4.633919355056821e-16,0.0001866019779809666,0.0,0.009873720793270417,0.0004611357168177109,60.87619047619043,0.00022889839596640187,0.2142237640936687,0.2142237640936687,0.2142237640936687,32.0,0,1,0.0011402865561335666
Q9BQS8,2.7773358100922996e-05,1.94555801732943e-05,6.000512980540641e-17,0.0001866019779809666,0.0,0.006780464606694932,0.00045766964343432395,46.96114718614725,0.00022885351701588567,0.14711137581893985,0.14711137581893985,0.14711137581893985,28.0,0,1,0.00013361251524879626
Q93084,0.00023702560199638167,0.0001660393599508344,6.000512980540641e-17,0.0001866019779809666,0.0,0.009873720793270417,0.0004611357168177109,60.87619047619043,0.00022889839596640187,0.2142237640936687,0.2142237640936687,0.2142237640936687,32.0,0,1,0.001140286556133573
