Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.0,0.0,-15.202155074522928,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,-7.323460706984935e-18
O14578,0.0,2.0285470671612558e-20,-14.520589615710497,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,2.0858299778054197e-18
O60573,0.00011673916691364327,0.0001262204066810329,-14.398122811331023,0.0001866019779809666,0.0,0.16448787604780546,0.00012165562982215766,938.5666666666526,0.00014035236842144342,0.22293640054127198,0.22293640054127198,0.22293640054127198,174.0,0,1,0.00488840458174805
Q99623,0.00017701531708404038,0.00019139202293304232,-14.265147956358495,0.0001866019779809666,0.0,0.17565974046145696,0.00012069763306321005,986.8833333333247,0.0001399152840479412,0.2380780346820809,0.2380780346820809,0.2380780346820809,181.0,0,1,0.007412443569289352
Q9UDY4,0.0003197970279852551,0.00034577007867072837,-14.111988749987816,0.0001866019779809666,0.0,0.17922084835875893,0.00012066679262133041,1004.1833333333274,0.00013986129392993903,0.24290453372650203,0.24290453372650203,0.24290453372650203,202.0,0,1,0.013391368965216399
P06280,0.0,-1.3936634527259594e-20,-13.993697185412692,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,3.7129922608775365e-18
Q14203,0.0,3.7355807375580176e-20,-12.279354256106325,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,-2.435188825555146e-18
Q9NVI1,0.00012799379378327576,0.00013838910394079235,-13.861640655018647,0.0001866019779809666,0.0,0.17810482109791684,0.0001212542726822041,995.9333333333273,0.00014015690563343023,0.2413919413919414,0.2413919413919414,0.2413919413919414,178.0,0,1,0.005359687451156324
Q8IUD2,0.00019387413192633414,0.00020962006517296074,-13.802196879424615,0.0001866019779809666,0.0,0.17884728847375414,0.00012006897064773951,1000.5999999999929,0.00013957281634654003,0.2423982344286415,0.2423982344286415,0.2423982344286415,189.0,0,1,0.008118399504188838
Q8N3C7,0.00012408967350408827,0.00013416790155946112,-13.662047544756138,0.0001866019779809666,0.0,0.16965323154128156,0.00012132095464110813,961.1166666666549,0.00014018708136018267,0.22993719469644103,0.22993719469644103,0.22993719469644103,174.0,0,1,0.005196204020830088
O43169,0.0,-1.1722970687756001e-20,-13.579688093845956,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,2.3343931408774826e-18
Q9Y312,0.0003197970279852551,0.00034577007867072837,-12.58177358656682,0.0001866019779809666,0.0,0.17922084835875893,0.00012066679262133041,1004.1833333333274,0.00013986129392993903,0.24290453372650203,0.24290453372650203,0.24290453372650203,202.0,0,1,0.013391368965216394
Q15154,0.00019387413192633414,0.00020962006517296077,-12.657851000929526,0.0001866019779809666,0.0,0.17884728847375414,0.00012006897064773951,1000.5999999999929,0.00013957281634654003,0.2423982344286415,0.2423982344286415,0.2423982344286415,189.0,0,1,0.008118399504188842
Q92616,0.0,-3.900470050417244e-20,-12.750216125822849,0.0,0.0,0.0,3.6007921742783516e-05,0.0,0.00010735373743899214,0.0,0.0,0.0,0.0,0,0,-2.4686308528470978e-18
