Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.00047376442310334224,0.000518470807363091,-15.523997747131341,0.0001866019779809666,0.0,0.17255728020659658,0.00012191304702889698,979.8333333333234,0.00014054811622600408,0.2350621414913958,0.2350621414913958,0.2350621414913958,221.0,0,1,0.01753520868934567
O14578,0.00013277595250144934,0.0001453052444100762,-14.93105549006929,0.0001866019779809666,0.0,0.17884063918365126,0.00012078669711244148,997.7666666666615,0.00014005165084555928,0.24362150111468914,0.24362150111468914,0.24362150111468914,181.0,0,1,0.0049143707769118425
O60573,0.00010640335062788121,0.00011644401397810737,-14.566561672056,0.0001866019779809666,0.0,0.1718590003295406,0.0001215805539013751,969.4999999999916,0.00014043098660642146,0.23411092597000713,0.23411092597000713,0.23411092597000713,176.0,0,1,0.003938254684224231
Q99623,0.00014685045104238293,0.0001607078712556085,-14.256738671076356,0.0001866019779809666,0.0,0.1801121767205688,0.00012086485601034034,1001.3999999999962,0.0001400956295314613,0.24535362354995635,0.24535362354995635,0.24535362354995635,174.0,0,1,0.005435303242664674
Q9UDY4,-0.0,-2.0166828570018314e-20,-14.141618219703727,0.0,0.0,0.0,3.615546851461268e-05,0.0,0.00010758473066934621,0.0,0.0,0.0,0.0,0,0,-2.353838443730024e-19
P06280,0.00015535309553570728,0.00017001286069804028,-14.067585358525823,0.0001866019779809666,0.0,0.18406109888703637,0.00011969947863529166,1018.2833333333313,0.0001394739573737971,0.25073295092415554,0.25073295092415554,0.25073295092415554,189.0,0,1,0.005750007425442158
Q14203,0.00016713010253242882,0.0001829011951278694,-13.9639844692019,0.0001866019779809666,0.0,0.1714712410365515,0.00012020199246513385,970.5833333333234,0.00013975424639987134,0.23358270989193683,0.23358270989193683,0.23358270989193683,192.0,0,1,0.00618590397096717
Q9NVI1,0.0002621686507346315,0.000286907976587404,-12.204776571888786,0.0003732039559619332,0.0005963850406786012,0.1839907391397554,0.00020549049552230544,1044.0666666666607,0.0001725645208210377,0.25063710499490316,0.25063710499490316,0.25063710499490316,172.5,0,2,0.009703518833944236
Q8IUD2,0.00029990605503387813,0.0003282064395379456,-13.733666139668887,0.0003732039559619332,0.0005658541395274377,0.19278495604389856,0.00020483322106296264,1077.8333333333317,0.0001722211665760844,0.2626168224299065,0.2626168224299065,0.2626168224299065,186.5,0,2,0.011100274747879018
Q8N3C7,-0.0,1.8156036851069036e-21,-13.59729254119118,0.0,0.0,0.0,3.615546851461268e-05,0.0,0.00010758473066934621,0.0,0.0,0.0,0.0,0,0,2.5535794483812587e-20
O43169,0.0002201801172654395,0.00024095723021189024,-12.561834063944005,0.0001866019779809666,0.0,0.17560006333075523,0.00012228199832486477,988.4666666666599,0.00014073058743870585,0.23920710203088896,0.23920710203088896,0.23920710203088896,200.0,0,1,0.008149417974873962
Q9Y312,0.00047376442310334224,0.0005184708073630885,-13.446293911263806,0.0001866019779809666,0.0,0.17255728020659658,0.00012191304702889698,979.8333333333234,0.00014054811622600408,0.2350621414913958,0.2350621414913958,0.2350621414913958,221.0,0,1,0.017535208689345674
Q15154,-0.0,-9.17180551989427e-21,-13.411504410039687,0.0,0.0,0.0,3.615546851461268e-05,0.0,0.00010758473066934621,0.0,0.0,0.0,0.0,0,0,-2.1453504811866303e-19
Q92616,-0.0,-1.87512424540368e-20,-13.347032577997917,0.0,0.0,0.0,3.615546851461268e-05,0.0,0.00010758473066934621,0.0,0.0,0.0,0.0,0,0,3.076460904428069e-19
Q9H7F0,0.00011397579883334313,0.00012473102993655364,-13.328048783307228,0.0001866019779809666,0.0,0.1749193604807753,0.00012118743348001834,980.2999999999912,0.0001402485147093438,0.23827983040581466,0.23827983040581466,0.23827983040581466,167.0,0,1,0.004218529971047583
P78406,-0.0,-1.0278223464224833e-20,-13.217741670421987,0.0,0.0,0.0,3.615546851461268e-05,0.0,0.00010758473066934621,0.0,0.0,0.0,0.0,0,0,-3.2319271404817367e-19
