Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.0008150638273579069,0.0006522925035904437,-15.386568193830472,0.0001866019779809666,0.0,0.1797893967477544,0.00012003842877145793,1008.6833333333273,0.00013960200478626552,0.24447890818858561,0.24447890818858561,0.24447890818858561,222.0,0,1,0.028974439877297486
O14578,0.00012345384435960625,9.879964551516204e-05,-14.665906990546208,0.0001866019779809666,0.0,0.1673715104858975,0.0001207040456932177,951.3666666666553,0.000139986754151805,0.22759297759297759,0.22759297759297759,0.22759297759297759,178.0,0,1,0.0043886207079190795
O60573,9.40882026816599e-05,7.529843335643035e-05,-14.54608645612987,0.0001866019779809666,0.0,0.16816787023173965,0.0001224606034480393,953.7833333333215,0.0001407838814439236,0.22867587327376118,0.22867587327376118,0.22867587327376118,172.0,0,1,0.003344711027846518
Q99623,0.00018433039568492058,0.00014751891968864427,-14.174272706487557,0.0001866019779809666,0.0,0.1818881056592068,0.00012136551802234643,1010.4833333333295,0.00014026344721602133,0.2473327475837831,0.2473327475837831,0.2473327475837831,186.0,0,1,0.0065527015039349825
Q9UDY4,0.0008150638273579069,0.0006522925035904461,-14.014798656427203,0.0001866019779809666,0.0,0.1797893967477544,0.00012003842877145793,1008.6833333333273,0.00013960200478626552,0.24447890818858561,0.24447890818858561,0.24447890818858561,222.0,0,1,0.028974439877297493
P06280,8.927609035521654e-05,7.144731803071394e-05,-13.94363506759126,0.0001866019779809666,0.0,0.1683045920774565,0.00012215130464109257,952.6999999999873,0.00014065577274650809,0.22886178861788617,0.22886178861788617,0.22886178861788617,162.0,0,1,0.0031736468061188557
Q14203,0.00021262634527361866,0.0001701640613072,-13.8077887779863,0.0001866019779809666,0.0,0.178373035178102,0.00012002848429303227,996.683333333328,0.00013966384771390032,0.24255292959133432,0.24255292959133432,0.24255292959133432,182.0,0,1,0.007558585046560648
Q9NVI1,0.00018433039568492058,0.00014751891968864408,-13.756574254032087,0.0001866019779809666,0.0,0.1818881056592068,0.00012136551802234643,1010.4833333333295,0.00014026344721602133,0.2473327475837831,0.2473327475837831,0.2473327475837831,186.0,0,1,0.0065527015039349825
Q8IUD2,0.00012345384435960625,9.879964551516218e-05,-13.640600613810259,0.0001866019779809666,0.0,0.1673715104858975,0.0001207040456932177,951.3666666666553,0.000139986754151805,0.22759297759297759,0.22759297759297759,0.22759297759297759,178.0,0,1,0.004388620707919074
Q8N3C7,0.00012345384435960625,9.879964551516218e-05,-13.581048832672257,0.0001866019779809666,0.0,0.1673715104858975,0.0001207040456932177,951.3666666666553,0.000139986754151805,0.22759297759297759,0.22759297759297759,0.22759297759297759,178.0,0,1,0.004388620707919074
O43169,-0.0,-1.1737466969986513e-19,-13.59769383108945,0.0,0.0,0.0,3.610368979709722e-05,0.0,0.00010750377004184317,0.0,0.0,0.0,0.0,0,0,5.093404810688542e-18
Q9Y312,0.0008150638273579069,0.0006522925035904464,-13.41587566391271,0.0001866019779809666,0.0,0.1797893967477544,0.00012003842877145793,1008.6833333333273,0.00013960200478626552,0.24447890818858561,0.24447890818858561,0.24447890818858561,222.0,0,1,0.028974439877297486
Q15154,0.00021262634527361866,0.00017016406130719984,-12.527876709573352,0.0001866019779809666,0.0,0.178373035178102,0.00012002848429303227,996.683333333328,0.00013966384771390032,0.24255292959133432,0.24255292959133432,0.24255292959133432,182.0,0,1,0.007558585046560656
Q92616,0.00017013196661010014,0.00013615597050921664,-13.308025903130002,0.0001866019779809666,0.0,0.1820709307434226,0.00012126289439029309,1011.1499999999959,0.00014022970481380778,0.24758135444151275,0.24758135444151275,0.24758135444151275,186.0,0,1,0.006047966149755445
Q9H7F0,-0.0,-1.5885448109430033e-20,-13.198646425019911,0.0,0.0,0.0,3.610368979709722e-05,0.0,0.00010750377004184317,0.0,0.0,0.0,0.0,0,0,-4.456633601101172e-18
