Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.0017602687820623953,0.002552294723634425,6.560703260363559,0.0001866019779809666,0.0,0.005882313129721248,0.0004785703407545903,41.7011904761905,0.00023124751241792663,0.20207253886010362,0.20207253886010362,0.20207253886010362,43.0,0,1,0.015656401766479554
O14578,4.773065508312763e-17,4.777742346555086e-18,6.586343666893369,0.0001866019779809666,0.0,0.0035968097861027613,0.00046259969134642255,23.283333333333328,0.0002293905899244146,0.2793522267206478,0.2793522267206478,0.2793522267206478,26.0,0,1,2.447762622332412e-16
O60573,4.006997977346333e-05,5.8099307897787724e-05,-6.560703260363547,0.0001866019779809666,0.0,0.005012302137025169,0.0004755464251783277,30.617857142857165,0.0002350314528618046,0.17218543046357615,0.17218543046357615,0.17218543046357615,10.0,0,1,0.00035639540307780553
Q99623,0.0006687664176898281,0.0009696752090400309,-6.586343666893345,0.0001866019779809666,0.0,0.007185357177444309,0.00045923259150443014,43.11666666666667,0.00022840541566316035,0.2468354430379747,0.2468354430379747,0.2468354430379747,23.0,0,1,0.005948225538045948
Q9UDY4,0.0017602687820623953,0.0025522947236344237,5.53884654052664,0.0001866019779809666,0.0,0.005882313129721248,0.0004785703407545903,41.7011904761905,0.00023124751241792663,0.20207253886010362,0.20207253886010362,0.20207253886010362,43.0,0,1,0.015656401766479554
P06280,-1.5419030689989786e-19,1.2927974417293026e-19,-5.538846540526649,0.0001866019779809666,0.0,0.0007033459170051818,0.0005305796143285923,4.0,0.00024566500176388727,0.5384615384615384,0.5384615384615384,0.5384615384615384,7.0,0,1,-1.6199769539940438e-17
Q14203,1.1286032119504848e-16,3.8908647764381375e-18,4.823315141451369,0.0001866019779809666,0.0,0.004291845493562232,0.0004611990462207904,26.166666666666664,0.000228579715453339,0.3333333333333333,0.3333333333333333,0.3333333333333333,33.0,0,1,7.64319050020443e-16
Q9NVI1,0.0006687664176898281,0.0009696752090400309,5.903646964153125,0.0001866019779809666,0.0,0.007185357177444309,0.00045923259150443014,43.11666666666667,0.00022840541566316035,0.2468354430379747,0.2468354430379747,0.2468354430379747,23.0,0,1,0.0059482255380459495
Q8IUD2,4.773065508312763e-17,5.2924701474658976e-18,3.1161575399679147,0.0001866019779809666,0.0,0.0035968097861027613,0.00046259969134642255,23.283333333333328,0.0002293905899244146,0.2793522267206478,0.2793522267206478,0.2793522267206478,26.0,0,1,2.438428923354029e-16
Q8N3C7,4.773065508312763e-17,5.011685518115854e-18,2.81489290451212,0.0001866019779809666,0.0,0.0035968097861027613,0.00046259969134642255,23.283333333333328,0.0002293905899244146,0.2793522267206478,0.2793522267206478,0.2793522267206478,26.0,0,1,2.422439483701154e-16
O43169,-0.0,-6.438845147504377e-20,5.310728354272574,0.0,0.0,0.0,0.00013285049955623866,0.0,0.00017418408759785494,0.0,0.0,0.0,0.0,0,0,3.7839932816881375e-20
Q9Y312,0.0017602687820623953,0.002552294723634421,4.9193563332434715,0.0001866019779809666,0.0,0.005882313129721248,0.0004785703407545903,41.7011904761905,0.00023124751241792663,0.20207253886010362,0.20207253886010362,0.20207253886010362,43.0,0,1,0.015656401766479533
Q15154,1.1286032119504848e-16,3.82219363281838e-18,-4.8233151414513795,0.0001866019779809666,0.0,0.004291845493562232,0.0004611990462207904,26.166666666666664,0.000228579715453339,0.3333333333333333,0.3333333333333333,0.3333333333333333,33.0,0,1,7.5905829325718485e-16
Q92616,7.847719208719507e-18,-3.233819383612309e-18,4.458769609785652,0.0001866019779809666,0.0,0.003879805592944361,0.00047659557641818186,23.666666666666664,0.00023138879114349903,0.3248730964467005,0.3248730964467005,0.3248730964467005,28.0,0,1,8.573518202932623e-17
Q9H7F0,-0.0,-3.136847854785403e-20,3.989428269060255,0.0,0.0,0.0,0.00013285049955623866,0.0,0.00017418408759785494,0.0,0.0,0.0,0.0,0,0,-2.3830853879499574e-19
P78406,-0.0,5.7501052424452e-20,3.5981781208305104,0.0,0.0,0.0,0.00013285049955623866,0.0,0.00017418408759785494,0.0,0.0,0.0,0.0,0,0,2.272305064071867e-20
Q14146,4.268383890499315e-19,-2.553203567035246e-18,-5.903646964153108,0.0001866019779809666,0.0,0.002928435639118924,0.0004872459860032004,18.95,0.00023466201675857376,0.24521072796934865,0.24521072796934865,0.24521072796934865,16.0,0,1,-5.500074525572343e-18
P13861,4.773065508312763e-17,5.2609120517351704e-18,-3.1161575399679213,0.0001866019779809666,0.0,0.0035968097861027613,0.00046259969134642255,23.283333333333328,0.0002293905899244146,0.2793522267206478,0.2793522267206478,0.2793522267206478,26.0,0,1,2.4609334686659904e-16
Q99996,-0.0,-3.181347475449771e-20,-2.8148929045121163,0.0,0.0,0.0,0.00013285049955623866,0.0,0.00017418408759785494,0.0,0.0,0.0,0.0,0,0,-8.658643076862095e-19
P07237,0.011770096860744221,0.017066005158106554,-5.310728354272581,0.0001866019779809666,0.0,0.0069649474480748515,0.00047105954317146903,45.51666666666666,0.00022997842515528363,0.2392638036809816,0.2392638036809816,0.2392638036809816,43.0,0,1,0.1046870609535204
Q06787,0.0006687664176898281,0.0009696752090400309,-4.919356333243444,0.0001866019779809666,0.0,0.007185357177444309,0.00045923259150443014,43.11666666666667,0.00022840541566316035,0.2468354430379747,0.2468354430379747,0.2468354430379747,23.0,0,1,0.0059482255380459495
